,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
325,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.saponite_1.jhu.nicolet.spectrum.txt, saponite_1,Nic4,FALSE,z, phyllosilicate,"(ca/2,na)0.33(mg,fe+2)3(si,al)4o10(oh)2.h2o", jhu,smectite,saponite
326,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.sepiolite_1.jhu.nicolet.spectrum.txt, sepiolite_1,Nic4,FALSE,z, phyllosilicate,mg4si6o15(oh)2.6h2), jhu,pal-sep,sepiolite
327,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.smectite_1.jhu.nicolet.spectrum.txt, smectite_1,Nic4,FALSE,z, phyllosilicate,o10.3h2o, jhu,smectite,smectite
328,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.talc_1.jhu.nicolet.spectrum.txt, talc_1,Nic4,FALSE,z, phyllosilicate,mg3si4o10(oh)2, jhu,other-mgoh,talc
329,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.vermicul_1.jhu.nicolet.spectrum.txt, vermicul_1,Nic4,FALSE,z, phyllosilicate,"(mg,fe+2,al)3(al,si)4o10(oh)2.4h2o", jhu,dark-mica,vermiculite
330,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.antigorite_1.jhu.nicolet.spectrum.txt, antigorite_1,Nic4,FALSE,z, phyllosilicate,na, jhu.,serpentine,antigorite
331,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.biotite_1.jhu.nicolet.spectrum.txt, biotite_1,Nic4,FALSE,z, phyllosilicate,"k(mg,fe+2)3(al,fe+3)si3o10(oh,f)2", jhu,dark-mica,biotite
332,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.clinochlore_1.jhu.nicolet.spectrum.txt, clinochlore_1,Nic4,FALSE,z, phyllosilicate,"(mg,fe+2)5al(si3al)o10(oh)8", jhu,chlorite,clinochlore
333,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.clinochl_2.jhu.nicolet.spectrum.txt, clinochl_2,Nic4,FALSE,z, phyllosilicate,"(fe+2,mg)5al(si3al)o10(oh)8", jhu,chlorite,clinochlore
334,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.muscov_1.jhu.nicolet.spectrum.txt, muscov_1,Nic4,FALSE,z, phyllosilicate,"kal2(si3al)o10(oh,f)2", jhu,white-mica,muscovite
335,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.muscov_2.jhu.nicolet.spectrum.txt, muscov_2,Nic4,FALSE,z, phyllosilicate,"kal2(si3al)o10(oh,f)2", jhu,white-mica,muscovite
336,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.phlogop_1.jhu.nicolet.spectrum.txt, phlogop_1,Nic4,FALSE,z, phyllosilicate,"kmg3si3al010(f,oh)2", jhu,phlogopite,phlogopite
337,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.phlogop_2.jhu.nicolet.spectrum.txt, phlogop_2,Nic4,FALSE,z, phyllosilicate,oh)2, jhu,phlogopite,phlogopite
338,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.prehnite_1.jhu.nicolet.spectrum.txt, prehnite_1,Nic4,FALSE,z, phyllosilicate,ca2al2si3o10(oh)2, jhu,other-aloh,prehnite
339,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.pyroph_1.jhu.nicolet.spectrum.txt, pyroph_1,Nic4,FALSE,z, phyllosilicate,al2si4010(oh)2, jhu,other-aloh,pyrophyllite
340,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.solid.tir.talc_1.jhu.nicolet.spectrum.txt, talc_1,Nic4,FALSE,z, phyllosilicate,mg3si4o10(oh)2, jhu,other-mgoh,talc
341,c:\2020\ecospeclib\mineral.silicate.sorosilicate.coarse.tir.clinozo_1.jhu.nicolet.spectrum.txt, clinozo_1,Nic4,FALSE,z, sorosilicate,ca2al3(sio4)3(oh), jhu,epidote,clinozoisite
342,c:\2020\ecospeclib\mineral.silicate.sorosilicate.coarse.tir.epidote_1.jhu.nicolet.spectrum.txt, epidote_1,Nic4,FALSE,z, sorosilicate,"ca2(al,fe+3)3(sio4)3(oh)", jhu,epidote,epidote
343,c:\2020\ecospeclib\mineral.silicate.sorosilicate.coarse.tir.hemimor_1.jhu.nicolet.spectrum.txt, hemimor_1,Nic4,FALSE,z, sorosilicate,zn4si2o7(oh)2.h2o, jhu,silicate,hemimorphite
344,c:\2020\ecospeclib\mineral.silicate.sorosilicate.coarse.tir.vesuvian_1.jhu.nicolet.spectrum.txt, vesuvian_1,Nic4,FALSE,z, sorosilicate,ca10mg2al4(sio4)5(si2o7)2(oh)4, jhu,misc-silicate,vesuvianite
345,c:\2020\ecospeclib\mineral.silicate.sorosilicate.fine.tir.epidote_1.jhu.nicolet.spectrum.txt, epidote_1,Nic4,FALSE,z, sorosilicate,"ca2(al,fe+3)3(sio4)3(oh)", jhu,epidote,epidote
346,c:\2020\ecospeclib\mineral.silicate.sorosilicate.solid.tir.clinozo_1.jhu.nicolet.spectrum.txt, clinozo_1,Nic4,FALSE,z, sorosilicate,ca2al3(sio4)3(oh), jhu,epidote,clinozoisite
347,c:\2020\ecospeclib\mineral.silicate.sorosilicate.solid.tir.epidote_1.jhu.nicolet.spectrum.txt, epidote_1,Nic4,FALSE,z, sorosilicate,"ca2(al,fe+3)3(sio4)3(oh)", jhu,epidote,epidote
348,c:\2020\ecospeclib\mineral.silicate.sorosilicate.solid.tir.hemimor_1.jhu.nicolet.spectrum.txt, hemimor_1,Nic4,FALSE,z, sorosilicate,zn4si2o7(oh)2.h2o, jhu,silicate,hemimorphite
349,c:\2020\ecospeclib\mineral.silicate.sorosilicate.solid.tir.vesuvian_1.jhu.nicolet.spectrum.txt, vesuvian_1,Nic4,FALSE,z, sorosilicate,ca10mg2al4(sio4)5(si2o7)2(oh)4, jhu,misc-silicate,vesuvianite
350,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.albite_1.jhu.nicolet.spectrum.txt, albite_1,Nic4,FALSE,z, tectosilicate,naalsi3o8, jhu,plagioclase,albite
351,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.analcime_1.jhu.nicolet.spectrum.txt, analcime_1,Nic4,FALSE,z, tectosilicate,naalsi2o6.h2o, jhu,zeolite,analcime
352,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.anorthite_1.jhu.nicolet.spectrum.txt, anorthite_1,Nic4,FALSE,z, tectosilicate,caal2si2o8, jhu,plagioclase,anorthite
353,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.chabazite_1.jhu.nicolet.spectrum.txt, chabazite_1,Nic4,FALSE,z, tectosilicate,caal2si4o12.6h2o, jhu,zeolite,chabazite
354,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.clinopt_1.jhu.nicolet.spectrum.txt, clinopt_1,Nic4,FALSE,z, tectosilicate,"(na,k,ca)2-3al3(al,si)2si13o36.12h2o", jhu,zeolite,clinoptilolite
355,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.erionite_1.jhu.nicolet.spectrum.txt, erionite_1,Nic4,FALSE,z, tectosilicate,"(k2,ca,na2)2al4si14o36.15h2o", jhu,zeolite,erionite
356,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.heulan_1.jhu.nicolet.spectrum.txt, heulan_1,Nic4,FALSE,z, tectosilicate,"(na,ca)2-3al3(al,si)2si13o36.12h2o", jhu,zeolite,heulandite
357,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.heulan_2.jhu.nicolet.spectrum.txt, heulan_2,Nic4,FALSE,z, tectosilicate,"(na,ca)2-3al3(al,si)2si13o36.12h2o", jhu,zeolite,heulandite
358,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.labrador_1.jhu.nicolet.spectrum.txt, labrador_1,Nic4,FALSE,z, tectosilicate,"(na,ca)al(al,si)si2o8", jhu,plagioclase,labradorite
359,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.leucite_1.jhu.nicolet.spectrum.txt, leucite_1,Nic4,FALSE,z, tectosilicate,kalsi2o6, jhu,zeolite,leucite
360,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.micro_1.jhu.nicolet.spectrum.txt, micro_1,Nic4,FALSE,z, tectosilicate,kalsi3o8, jhu,k-feldspar,microcline
361,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.morden_1.jhu.nicolet.spectrum.txt, morden_1,Nic4,FALSE,z, tectosilicate,"(ca,na2,k2)al2si10o24.7h2o", jhu,zeolite,mordenite
362,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.natrol_1.jhu.nicolet.spectrum.txt, natrol_1,Nic4,FALSE,z, tectosilicate,na2al2si3o10.2h2o, jhu,zeolite,natrolite
363,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.nephel_2.jhu.nicolet.spectrum.txt, nephel_2,Nic4,FALSE,z, tectosilicate,"(na,k)alsio4", jhu,feldspathoid,nepheline
364,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.orthocl_3.jhu.nicolet.spectrum.txt, orthocl_3,Nic4,FALSE,z, tectosilicate,kalsi3o8, jhu,k-feldspar,orthoclase
365,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.quartz_1.jhu.nicolet.spectrum.txt, quartz_1,Nic4,FALSE,z, tectosilicate,sio2, jhu,silica,quartz
366,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.quartz_2.jhu.nicolet.spectrum.txt, quartz_2,Nic4,FALSE,z, tectosilicate,sio2, jhu,silica,quartz
367,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.sanidine_1.jhu.nicolet.spectrum.txt, sanidine_1,Nic4,FALSE,z, tectosilicate,"(k,na)al3o8", jhu,k-feldspar,sanidine
368,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.sanidine_3.jhu.nicolet.spectrum.txt, sanidine_3,Nic4,FALSE,z, tectosilicate,"(k,na)al3o8", jhu,k-feldspar,sanidine
369,c:\2020\ecospeclib\mineral.silicate.tectosilicate.coarse.tir.sodalite_1.jhu.nicolet.spectrum.txt, sodalite_1,Nic4,FALSE,z, tectosilicate,na8al6si6o24cl2, jhu,cancrinite-sodalite,sodalite
370,c:\2020\ecospeclib\mineral.silicate.tectosilicate.solid.tir.chabazite_1.jhu.nicolet.spectrum.txt, chabazite_1,Nic4,FALSE,z, tectosilicate,caal2si4o12.6h2o, jhu,zeolite,chabazite
371,c:\2020\ecospeclib\mineral.silicate.tectosilicate.solid.tir.clinopt_1.jhu.nicolet.spectrum.txt, clinopt_1,Nic4,FALSE,z, tectosilicate,"(na,k,ca)2-3al3(al,si)2si13o36.12h2o", jhu,zeolite,clinoptilolite
372,c:\2020\ecospeclib\mineral.silicate.tectosilicate.solid.tir.erionite_1.jhu.nicolet.spectrum.txt, erionite_1,Nic4,FALSE,z, tectosilicate,"(k2,ca,na2)2al4si14o36.15h2o", jhu,zeolite,erionite
373,c:\2020\ecospeclib\mineral.silicate.tectosilicate.solid.tir.heulan_2.jhu.nicolet.spectrum.txt, heulan_2,Nic4,FALSE,z, tectosilicate,"(na,ca)2-3al3(al,si)2si13o36.12h2o", jhu,zeolite,heulandite
374,c:\2020\ecospeclib\mineral.silicate.tectosilicate.solid.tir.labrador_1.jhu.nicolet.spectrum.txt, labrador_1,Nic4,FALSE,z, tectosilicate,"(na,ca)al(al,si)si2o8", jhu,plagioclase,labradorite
