,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
42,none,119,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,calcite
43,none,119,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,calcite
44,none,133,unknown,unknown,unknown,unknown,unknown,unknown,oxide,cassiterite
45,none,109,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,cerussite
46,none,40,unknown,unknown,unknown,unknown,unknown,unknown,zeolite,chabazite
47,none,72,unknown,unknown,unknown,unknown,unknown,unknown,chlorite,chlorite-fe
48,none,73,unknown,unknown,unknown,unknown,unknown,unknown,chlorite,chlorite-femg
49,none,73,unknown,unknown,unknown,unknown,unknown,unknown,chlorite,chlorite-femg
50,none,138,unknown,unknown,unknown,unknown,unknown,unknown,oxide,chromite
51,none,33,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,cordierite
52,none,26,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,diopside
53,none,26,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,diopside
54,none,26,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,diopside
55,none,26,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,diopside
56,none,26,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,diopside
57,none,120,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,dolomite
58,none,80,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,edenite
59,none,80,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,edenite
60,none,28,unknown,unknown,unknown,unknown,unknown,unknown,enstatite,enstatite
61,none,28,unknown,unknown,unknown,unknown,unknown,unknown,enstatite,enstatite
62,none,102,unknown,unknown,unknown,unknown,unknown,unknown,epidote,epidote
63,none,139,unknown,unknown,unknown,unknown,unknown,unknown,oxide,gahnite
64,none,88,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,gedrite
65,none,179,unknown,unknown,unknown,unknown,unknown,unknown,white-mica,glauconite
66,none,179,unknown,unknown,unknown,unknown,unknown,unknown,white-mica,glauconite
67,none,93,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,glaucophane
68,none,134,unknown,unknown,unknown,unknown,unknown,unknown,oxide,goethite
69,none,134,unknown,unknown,unknown,unknown,unknown,unknown,oxide,goethite
70,none,20,unknown,unknown,unknown,unknown,unknown,unknown,garnet,grossular
71,none,20,unknown,unknown,unknown,unknown,unknown,unknown,garnet,grossular
72,none,89,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,grunerite
73,none,128,unknown,unknown,unknown,unknown,unknown,unknown,sulphate,gypsum
74,none,27,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,hedenbergite
75,none,27,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,hedenbergite
76,none,27,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,hedenbergite
77,none,135,unknown,unknown,unknown,unknown,unknown,unknown,oxide,hematite
78,none,41,unknown,unknown,unknown,unknown,unknown,unknown,zeolite,heulandite
79,none,90,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,holmquistite
80,none,82,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,hornblende
81,none,82,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,hornblende
