index,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
109,c:\2020\ecospeclib\mineral.silicate.sorosilicate.medium.vswir.ss-1a.jpl.perkin.spectrum.txt, ss-1a,Perk,FALSE,z, sorosilicate,"ca_2(al,fe^3+)_3o.sio_4.si_2o_7.oh", jpl,epidote,epidote
110,Epidote_GDS26.a_75-200um_ASDNGb_AREF.txt," gds26.a, gds26.b",ASDNG,TRUE,b, sorosilicate," Ca2(Al,Fe+3)3(SiO4)3(OH)", usgs denver spectroscopy laboratory,epidote,epidote
111,Epidote_GDS26.b_lt75um_ASDNGb_AREF.txt," gds26.a, gds26.b",ASDNG,TRUE,b, sorosilicate," Ca2(Al,Fe+3)3(SiO4)3(OH)", usgs denver spectroscopy laboratory,epidote,epidote
112,Epidote_GDS301_75-150um_ASDFRb_AREF.txt, gds301,ASDFR,FALSE,b, sorosilicate," Ca2(Al,Fe+3)3(SiO4)3(OH)", u.s.g.s. denver spectroscopy laboratory.,epidote,epidote
113,Zoisite_HS347.1B_ASDFRb_AREF.txt," hs347.1b, hs347.2b, hs347.3b, hs347.4b, hs347.6",ASDFR,FALSE,b, sorosilicate, Ca2Al3(SiO4)3(OH), usgs denver spectroscopy laboratory,epidote,zoisite
114,Zoisite_HS347.2B_ASDFRb_AREF.txt," hs347.1b, hs347.2b, hs347.3b, hs347.4b, hs347.6",ASDFR,FALSE,b, sorosilicate, Ca2Al3(SiO4)3(OH), usgs denver spectroscopy laboratory,epidote,zoisite
115,Zoisite_HS347.3B_ASDFRb_AREF.txt," hs347.1b, hs347.2b, hs347.3b, hs347.4b, hs347.6",ASDFR,FALSE,b, sorosilicate, Ca2Al3(SiO4)3(OH), usgs denver spectroscopy laboratory,epidote,zoisite
116,Zoisite_HS347.4B_ASDFRb_AREF.txt," hs347.1b, hs347.2b, hs347.3b, hs347.4b, hs347.6",ASDFR,FALSE,b, sorosilicate, Ca2Al3(SiO4)3(OH), usgs denver spectroscopy laboratory,epidote,zoisite
117,c:\2020\ecospeclib\mineral.borate.none.coarse.vswir.b-2a.jpl.perkin.spectrum.txt, b-2a,Perk,FALSE,z, none,na_2b_4o_6(oh)_2.3h_2o, jpl,gypsum,kernite
118,c:\2020\ecospeclib\mineral.borate.none.fine.vswir.b-2a.jpl.perkin.spectrum.txt, b-2a,Perk,FALSE,z, none,na_2b_4o_6(oh)_2.3h_2o, jpl,gypsum,kernite
119,c:\2020\ecospeclib\mineral.borate.none.medium.vswir.b-2a.jpl.perkin.spectrum.txt, b-2a,Perk,FALSE,z, none,na_2b_4o_6(oh)_2.3h_2o, jpl,gypsum,kernite
120,c:\2020\ecospeclib\mineral.halide.none.coarse.vswir.h-4a.jpl.perkin.spectrum.txt, h-4a,Perk,FALSE,z, none,cu_2cl(oh)_3, jpl,halide,atacamite
121,c:\2020\ecospeclib\mineral.halide.none.medium.vswir.h-4a.jpl.perkin.spectrum.txt, h-4a,Perk,FALSE,z, none,cu_2cl(oh)_3, jpl,halide,atacamite
122,Dickite_NMNH106242_ASDNGb_AREF.txt, nmnh106242,ASDNG,FALSE,b, phyllosilicate, Al2Si2O5(OH)4, usgs denver spectroscopy laboratory,kaolin,dickite
123,Halloysite_NMNH106237_ASDNGa_AREF.txt, nmnh106237,ASDNG,FALSE,a, phyllosilicate, Al2Si2O5(OH)4, usgs denver spectroscopy laboratory,kaolin,halloysite
124,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.fine.vswir.ps-1a.jpl.perkin.spectrum.txt, ps-1a,Perk,FALSE,z, phyllosilicate,al_2si_2o_5(oh)_4, jpl,kaolin,kaolinite
125,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.fine.vswir.ps-1b.jpl.perkin.spectrum.txt, ps-1b,Perk,FALSE,z, phyllosilicate,al_2si_2o_5(oh)_4, jpl,kaolin,kaolinite
126,Kaolinite_CM9_ASDNGb_AREF.txt, cm9 (also known as api9),ASDNG,TRUE,b, phyllosilicate, Al2Si2O5(OH)4, usgs denver spectroscopy laboratory,kaolin,kaolinite
127,Kaolinite_KGa-1_(wxl)_ASDNGb_AREF.txt, kga-1,ASDNG,TRUE,b, phyllosilicate, Al2Si2O5(OH)4, usgs denver spectroscopy laboratory,kaolin,kaolinite
128,Kaolinite_KGa-2_(pxl)_ASDNGb_AREF.txt, kga-2,ASDNG,TRUE,b, phyllosilicate, Al2Si2O5(OH)4, usgs denver spectroscopy laboratory,kaolin,kaolinite
129,Carnallite_HS430.1B_ASDFRa_AREF.txt," hs430.1b, hs430.2b, hs430.3b, hs430.4b, hs430.6",ASDFR,FALSE,a, halide, KMgCl3*6H2O, usgs denver spectroscopy laboratory,misc-gen,carnallite
130,Carnallite_HS430.2B_ASDFRa_AREF.txt," hs430.1b, hs430.2b, hs430.3b, hs430.4b, hs430.6",ASDFR,FALSE,a, halide, KMgCl3*6H2O, usgs denver spectroscopy laboratory,misc-gen,carnallite
131,Carnallite_HS430.3B_ASDFRa_AREF.txt," hs430.1b, hs430.2b, hs430.3b, hs430.4b, hs430.6",ASDFR,FALSE,a, halide, KMgCl3*6H2O, usgs denver spectroscopy laboratory,misc-gen,carnallite
132,Carnallite_HS430.4B_ASDFRa_AREF.txt," hs430.1b, hs430.2b, hs430.3b, hs430.4b, hs430.6",ASDFR,FALSE,a, halide, KMgCl3*6H2O, usgs denver spectroscopy laboratory,misc-gen,carnallite
133,Beryl_HS180.1B_ASDFRa_AREF.txt," hs180.1b, hs180.2b, hs180.3b, hs180.4b, hs180.6",ASDFR,TRUE,a, cyclosilicate, Be3Al2Si6O18, usgs denver spectroscopy laboratory,misc-silicate,beryl
134,Beryl_HS180.3B_ASDFRa_AREF.txt," hs180.1b, hs180.2b, hs180.3b, hs180.4b, hs180.6",ASDFR,TRUE,a, cyclosilicate, Be3Al2Si6O18, usgs denver spectroscopy laboratory,misc-silicate,beryl
135,Beryl_HS180.4B_ASDFRa_AREF.txt," hs180.1b, hs180.2b, hs180.3b, hs180.4b, hs180.6",ASDFR,TRUE,a, cyclosilicate, Be3Al2Si6O18, usgs denver spectroscopy laboratory,misc-silicate,beryl
136,Beryl_HS180.6_ASDFRa_AREF.txt," hs180.1b, hs180.2b, hs180.3b, hs180.4b, hs180.6",ASDFR,TRUE,a, cyclosilicate, Be3Al2Si6O18, usgs denver spectroscopy laboratory,misc-silicate,beryl
137,Chrysocolla_HS297.1B_ASDFRb_AREF.txt," hs297.1b, hs297.2b, hs297.3b, hs297.4b",ASDFR,FALSE,b, phyllosilicate," (Cu,Al)2H2Si2O5(OH)4*nH2O", usgs denver spectroscopy laboratory,misc-silicate,chrysocolla
138,Chrysocolla_HS297.2B_ASDFRb_AREF.txt," hs297.1b, hs297.2b, hs297.3b, hs297.4b",ASDFR,FALSE,b, phyllosilicate," (Cu,Al)2H2Si2O5(OH)4*nH2O", usgs denver spectroscopy laboratory,misc-silicate,chrysocolla
139,Chrysocolla_HS297.3B_ASDFRb_AREF.txt," hs297.1b, hs297.2b, hs297.3b, hs297.4b",ASDFR,FALSE,b, phyllosilicate," (Cu,Al)2H2Si2O5(OH)4*nH2O", usgs denver spectroscopy laboratory,misc-silicate,chrysocolla
140,Chrysocolla_HS297.4B_ASDFRb_AREF.txt," hs297.1b, hs297.2b, hs297.3b, hs297.4b",ASDFR,FALSE,b, phyllosilicate," (Cu,Al)2H2Si2O5(OH)4*nH2O", usgs denver spectroscopy laboratory,misc-silicate,chrysocolla
141,c:\2020\ecospeclib\mineral.silicate.cyclosilicate.coarse.vswir.cs-3a.jpl.perkin.spectrum.txt, cs-3a,Perk,FALSE,z, cyclosilicate,mg_2al_3(si_5al)o_18, jpl,misc-silicate,cordierite
142,c:\2020\ecospeclib\mineral.silicate.cyclosilicate.medium.vswir.cs-3a.jpl.perkin.spectrum.txt, cs-3a,Perk,FALSE,z, cyclosilicate,mg_2al_3(si_5al)o_18, jpl,misc-silicate,cordierite
143,Datolite_HS442.1B_ASDFRb_AREF.txt," hs442.1b, hs442.2b, hs442.3b, hs442.4b",ASDFR,FALSE,b, nesosilicate, CaBSiO4(OH), usgs denver spectroscopy laboratory,misc-silicate,datolite
144,Datolite_HS442.2B_ASDFRb_AREF.txt," hs442.1b, hs442.2b, hs442.3b, hs442.4b",ASDFR,FALSE,b, nesosilicate, CaBSiO4(OH), usgs denver spectroscopy laboratory,misc-silicate,datolite
145,c:\2020\ecospeclib\mineral.silicate.sorosilicate.coarse.vswir.ss-2a.jpl.perkin.spectrum.txt, ss-2a,Perk,FALSE,z, sorosilicate,zn_4si_2o_7(oh)_2.h_2o, jpl,misc-silicate,hemimorphite
146,c:\2020\ecospeclib\mineral.silicate.sorosilicate.fine.vswir.ss-2a.jpl.perkin.spectrum.txt, ss-2a,Perk,FALSE,z, sorosilicate,zn_4si_2o_7(oh)_2.h_2o, jpl,misc-silicate,hemimorphite
147,c:\2020\ecospeclib\mineral.silicate.sorosilicate.medium.vswir.ss-2a.jpl.perkin.spectrum.txt, ss-2a,Perk,FALSE,z, sorosilicate,zn_4si_2o_7(oh)_2.h_2o, jpl,misc-silicate,hemimorphite
148,c:\2020\ecospeclib\mineral.silicate.nesosilicate.coarse.vswir.ns-7a.jpl.perkin.spectrum.txt, ns-7a,Perk,FALSE,z, nesosilicate,catisio_5, jpl,misc-silicate,titanite
149,c:\2020\ecospeclib\mineral.silicate.nesosilicate.medium.vswir.ns-7a.jpl.perkin.spectrum.txt, ns-7a,Perk,FALSE,z, nesosilicate,catisio_5, jpl,misc-silicate,titanite
